label,group_1_column,group_1,group_2_column,group_2,n_segments,segment_pct,n_speakers,total_hours,hours_pct,mean_duration_sec,median_duration_sec
fold_1,sex,F,age_group,A,590,24.4104261481175,26,4.732234166666667,24.37954668239227,28.874649152542375,30.0
fold_1,sex,F,age_group,B,613,25.362019031857674,28,4.9269533333333335,25.38270181937704,28.93479934747145,30.0
fold_1,sex,M,age_group,A,598,24.74141497724452,28,4.791724444444444,24.686028980848224,28.8465016722408,30.0
fold_1,sex,M,age_group,B,616,25.486139842780307,27,4.9597613888888885,25.551722517382476,28.985618506493505,30.0
fold_2,sex,F,age_group,A,641,25.0,28,5.146502777777778,24.93445245325049,28.903915756630266,30.0
fold_2,sex,F,age_group,B,646,25.195007800312013,28,5.177132777777778,25.082852699324548,28.850894736842104,30.0
fold_2,sex,M,age_group,A,567,22.113884555382217,25,4.552839722222223,22.05819572685403,28.90691887125221,30.0
fold_2,sex,M,age_group,B,710,27.691107644305774,27,5.763652222222222,27.92449912057095,29.22415211267606,30.0
fold_3,sex,F,age_group,A,606,23.37962962962963,26,4.867156111111111,23.35305201626462,28.913798679867984,30.0
fold_3,sex,F,age_group,B,718,27.700617283950617,29,5.768666111111111,27.678577937884707,28.923674094707522,30.0
fold_3,sex,M,age_group,A,603,23.26388888888889,28,4.846580555555555,23.254328653343194,28.934809286898837,30.0
fold_3,sex,M,age_group,B,665,25.655864197530864,28,5.359224722222222,25.714041392507482,29.012344360902254,30.0
fold_4,sex,F,age_group,A,577,23.735088440970795,29,4.631625555555555,23.650049799016053,28.897490467937608,30.0
fold_4,sex,F,age_group,B,563,23.15919374742904,26,4.519456944444444,23.07729338620927,28.898836589698046,30.0
fold_4,sex,M,age_group,A,580,23.858494446729743,26,4.693825,23.9676531848981,29.13408620689655,30.0
fold_4,sex,M,age_group,B,711,29.247223364870422,28,5.739091666666667,29.305003629876587,29.058691983122362,30.0
exceptions,sex,F,age_group,A,22,14.193548387096774,1,0.17711944444444444,14.058037827482744,28.98318181818182,30.0
exceptions,sex,F,age_group,B,65,41.935483870967744,2,0.52851,41.948040179932654,29.271323076923075,30.0
exceptions,sex,M,age_group,A,15,9.67741935483871,1,0.12073027777777778,9.58240817232721,28.975266666666666,30.0
exceptions,sex,M,age_group,B,53,34.193548387096776,3,0.4335561111111111,34.41151382025739,29.44909433962264,30.0
