label,group_column,group_value,n_segments,segment_pct,n_speakers,speaker_pct,total_hours,hours_pct,mean_duration_sec,median_duration_sec,std_duration_sec,min_duration_sec,max_duration_sec
fold_1,sex,F,1203,49.77244517997518,54,49.54128440366973,9.6591875,49.76224850176931,28.90529925187032,30.0,4.3266636412810175,3.231,30.0
fold_1,sex,M,1214,50.22755482002482,55,50.45871559633027,9.751485833333334,50.23775149823071,28.91709143327842,30.0,4.202408398400906,3.006,30.0
fold_2,sex,F,1287,50.195007800312005,56,51.85185185185185,10.323635555555557,50.01730515257504,28.877302253302258,30.0,4.324111118163664,3.225,30.0
fold_2,sex,M,1277,49.80499219968799,52,48.148148148148145,10.316491944444444,49.982694847424966,29.083297572435395,30.0,3.9126492589156876,3.25,30.0
fold_3,sex,F,1324,51.080246913580254,55,49.549549549549546,10.635822222222222,51.031629954149324,28.919154078549848,30.0,4.388629473940289,3.151,30.0
fold_3,sex,M,1268,48.91975308641975,56,50.45045045045045,10.205805277777777,48.96837004585068,28.975472397476338,30.0,4.1896711297241245,3.094,30.0
fold_4,sex,F,1140,46.894282188399835,55,50.45871559633027,9.1510825,46.72734318522532,28.898155263157893,30.0,4.420702891993381,3.291,30.0
fold_4,sex,M,1291,53.10571781160016,54,49.54128440366973,10.432916666666667,53.27265681477469,29.092563903950428,30.0,3.844160215292232,3.094,30.0
exceptions,sex,F,87,56.12903225806451,3,42.857142857142854,0.7056294444444444,56.0060780074154,29.198459770114944,30.0,3.5548585253130183,9.865,30.0
exceptions,sex,M,68,43.87096774193549,4,57.14285714285714,0.5542863888888889,43.9939219925846,29.344573529411765,30.0,3.033375605110075,9.44,30.0
