speaker_id,place,sex,age_group,dialect_region,fg_dialect_region,latitude,longitude
alvdal_01um,Alvdal,M,A,east,Østlandsk,62.0965119,10.5024921
aremark_02uk,Aremark,F,A,east,Østlandsk,59.1859253,11.6873345
aure_03gm,Aure,M,B,mid,Uttrøndersk,63.2802049,8.5111891
aure_04gk,Aure,F,B,mid,Uttrøndersk,63.2802049,8.5111891
ballangen_04gk,Ballangen,F,B,north,Nordlandsk,68.342872,16.8313381
langesund_01um,Bamble,M,A,east,Sørlandsk,59.0180854,9.5443135
beiarn_02uk,Beiarn,F,A,north,Nordlandsk,66.8918454,14.665143
bergen_03gm,Bergen,M,B,west,Sørvestlandsk,60.3943055,5.3259192
bjugn_19,Bjugn,F,B,mid,Uttrøndersk,63.7649663,9.808629
bodoe_01um,Bodø,M,A,north,Nordlandsk,67.2844313,14.3817503
kalvaag_02uk,Bremanger,F,A,west,Nordvestlandsk,61.8481029,5.0571352
bud_03gm,Bud,M,B,west,Nordvestlandsk,62.9072555,6.9140743
lommedalen_04gk,Bærum,F,B,east,Østlandsk,59.9289639,10.4997108
boemlo_01um,Bømlo,M,A,west,Sørvestlandsk,59.8011502,5.1866408
heroeyN_02uk,Dønna,F,A,north,Helgelandsk,66.1662544,12.4573928
eidfjord_03gm,Eidfjord,M,B,west,Sørvestlandsk,60.3456582,7.4012145
enebakk_04gk,Enebakk,F,B,east,Østlandsk,59.7692492,11.1045466
drevsjoe_01um,Engerdal,M,A,east,Østlandsk,61.9734157,11.9400962
evje_02uk,Evje og Hornnes,F,A,east,Sørlandsk,58.5860538,7.8615068
flaa_03gm,Flå,M,B,east,Midlandsk,60.4343238,9.5403716
fredrikstad_04gk,Fredrikstad,F,B,east,Østlandsk,59.1862013,10.8680241
fusa_01um,Fusa,M,A,west,Sørvestlandsk,60.1935843,5.7357713
gausdal_01um,Gausdal,M,A,east,Midlandsk,61.2640681,9.8532187
gjesdal_03gm,Gjesdal,M,B,west,Sørvestlandsk,58.8312089,6.2770851
