Region,Kommune,Fylke
1,Vardø,Finnmark
1,Vadsø,Finnmark
1,Hammerfest,Finnmark
1,Alta,Finnmark
1,Hasvik,Finnmark
1,Kvalsund,Finnmark
1,Måsøy,Finnmark
1,Nordkapp,Finnmark
1,Porsanger,Finnmark
1,Lebesby,Finnmark
1,Berlevåg,Finnmark
1,Båtsfjord,Finnmark
1,Sør-Varanger,Finnmark
2,Kautokeino,Finnmark
2,Loppa,Finnmark
2,Karasjok,Finnmark
2,Tana,Finnmark
2,Nesseby,Finnmark
2,Lyngen,Troms
2,Storfjord,Troms
2,Kåfjord,Troms
2,Skjervøy,Troms
2,Nordreisa,Troms
2,Kvænangen,Troms
3,Tromsø,Troms
3,Harstad,Troms
3,Kvæfjord,Troms
3,Tjeldsund,Troms
3,Ibestad,Troms
3,Gratangen,Troms
3,Lavangen,Troms
3,Bardu,Troms
3,Salangen,Troms
3,Målselv,Troms
3,Sørreisa,Troms
3,Dyrøy,Troms
3,Senja,Troms
3,Balsfjord,Troms
3,Karlsøy,Troms
4,Narvik,Nordland
4,Tysfjord,Nordland
4,Lødingen,Nordland
4,Tjeldsund,Nordland
4,Evenes,Nordland
4,Ballangen,Nordland
4,Bø,Nordland
4,Øksnes,Nordland
4,Sortland,Nordland
4,Andøy,Nordland
5,Bodø,Nordland
5,Gildeskål,Nordland
5,Beiarn,Nordland
5,Saltdal,Nordland
5,Fauske,Nordland
5,Skjerstad,Nordland
5,Sørfold,Nordland
5,Steigen,Nordland
5,Hamarøy,Nordland
5,Røst,Nordland
5,Værøy,Nordland
5,Flakstad,Nordland
5,Vestvågøy,Nordland
5,Vågan,Nordland
5,Hadsel,Nordland
5,Moskenes,Nordland
6,Dønna,Nordland
6,Nesna,Nordland
6,Hemnes,Nordland
6,Rana,Nordland
6,Lurøy,Nordland
6,Træna,Nordland
6,Rødøy,Nordland
6,Meløy,Nordland
7,Sømna,Nordland
7,Brønnøy,Nordland
7,Vega,Nordland
7,Vevelstad,Nordland
7,Herøy,Nordland
7,Alstadhaug,Nordland
7,Leirfjord,Nordland
7,Vefsn,Nordland
7,Grane,Nordland
7,Hattfjelldal,Nordland
8,Bindal,Nordland
8,Namsos,Nord-Trøndelag
8,Fosnes,Nord-Trøndelag
8,Flatanger,Nord-Trøndelag
8,Vikna,Nord-Trøndelag
8,Nærøy,Nord-Trøndelag
8,Leka,Nord-Trøndelag
8,Hemne,Sør-Trøndelag
8,Snillfjord,Sør-Trøndelag
8,Hitra,Sør-Trøndelag
8,Frøya,Sør-Trøndelag
8,Ørland,Sør-Trøndelag
8,Agdenes,Sør-Trøndelag
8,Rissa,Sør-Trøndelag
8,Bjugn,Sør-Trøndelag
8,Åfjord,Sør-Trøndelag
8,Roan,Sør-Trøndelag
8,Osen,Sør-Trøndelag
8,Kristansund,Møre og Romsdal
8,Averøy,Møre og Romsdal
8,Frei,Møre og Romsdal
8,Gjemnes,Møre og Romsdal
8,Tingvoll,Møre og Romsdal
8,Sunndal,Møre og Romsdal
8,Surnadal,Møre og Romsdal
8,Rindal,Møre og Romsdal
8,Aure,Møre og Romsdal
8,Halsa,Møre og Romsdal
8,Tustna,Møre og Romsdal
8,Smøla,Møre og Romsdal
9,Steinkjer,Nord-Trøndelag
9,Meråker,Nord-Trøndelag
9,Stjørdal,Nord-Trøndelag
9,Frosta,Nord-Trøndelag
9,Leksvik,Nord-Trøndelag
9,Levanger,Nord-Trøndelag
9,Verdal,Nord-Trøndelag
9,Mosvik,Nord-Trøndelag
9,Verran,Nord-Trøndelag
9,Namdalseid,Nord-Trøndelag
9,Inderøy,Nord-Trøndelag
9,Snåsa,Nord-Trøndelag
9,Lierne,Nord-Trøndelag
9,Røyrvik,Nord-Trøndelag
9,Namsskogan,Nord-Trøndelag
9,Grong,Nord-Trøndelag
9,Høylandet,Nord-Trøndelag
9,Overhalla,Nord-Trøndelag
9,Trondheim,Sør-Trøndelag
9,Orkdal,Sør-Trøndelag
9,Melhus,Sør-Trøndelag
9,Skaun,Sør-Trøndelag
9,Klæbu,Sør-Trøndelag
9,Malvik.,Sør-Trøndelag
10,Oppdal,Sør-Trøndelag
10,Rennebu,Sør-Trøndelag
10,Meldal,Sør-Trøndelag
10,Røros,Sør-Trøndelag
10,Holtålen,Sør-Trøndelag
10,MidtreGauldal,Sør-Trøndelag
10,Selbu,Sør-Trøndelag
10,Tydal,Sør-Trøndelag
11,Molde,Møre og Romsdal
11,Rauma,Møre og Romsdal
11,Nesset,Møre og Romsdal
11,Midsund,Møre og Romsdal
11,Aukra,Møre og Romsdal
11,Fræna,Møre og Romsdal
11,Eide,Møre og Romsdal
12,Selje,Sogn og Fjordane
12,Ålesund,Møre og Romsdal
12,Vanylven,Møre og Romsdal
12,Sande,Møre og Romsdal
12,Herøy,Møre og Romsdal
12,Ulstein,Møre og Romsdal
12,Hareid,Møre og Romsdal
12,Volda,Møre og Romsdal
12,Ørsta,Møre og Romsdal
12,Ørskog,Møre og Romsdal
12,Norddal,Møre og Romsdal
12,Stranda,Møre og Romsdal
12,Stordal,Møre og Romsdal
12,Sykkylven,Møre og Romsdal
12,Skodje,Møre og Romsdal
12,Sula,Møre og Romsdal
12,Giske,Møre og Romsdal
12,Haram,Møre og Romsdal
12,Vestnes,Møre og Romsdal
12,Sandøy,Møre og Romsdal
13,Flora,Sogn og Fjordane
13,Gulen,Sogn og Fjordane
13,Solund,Sogn og Fjordane
13,Hyllestad,Sogn og Fjordane
13,Jølster,Sogn og Fjordane
13,Førde,Sogn og Fjordane
13,Naustdal,Sogn og Fjordane
13,Bremanger,Sogn og Fjordane
13,Vågsøy,Sogn og Fjordane
13,Eid,Sogn og Fjordane
13,Hornindal,Sogn og Fjordane
13,Gloppen,Sogn og Fjordane
13,Stryn,Sogn og Fjordane
13,Høyanger,Sogn og Fjordane
13,Askvoll,Sogn og Fjordane
13,Fjaler,Sogn og Fjordane
13,Gaular,Sogn og Fjordane
14,Sogndal,Sogn og Fjordane
14,Balestrand,Sogn og Fjordane
14,Leikanger,Sogn og Fjordane
14,Aurland,Sogn og Fjordane
14,Vik,Sogn og Fjordane
14,Lærdal,Sogn og Fjordane
14,Årdal,Sogn og Fjordane
14,Luster,Sogn og Fjordane
15,Voss,Hordaland
15,Granvik,Hordaland
15,Ulvik,Hordaland
16,Etne,Hordaland
16,Sveio,Hordaland
16,Bømlo,Hordaland
16,Stord,Hordaland
16,Fitjar,Hordaland
16,Tysnes,Hordaland
16,Kvinnherad,Hordaland
16,Jondal,Hordaland
16,Odda,Hordaland
16,Ullensvang,Hordaland
16,Eidfjord,Hordaland
16,Kvam,Hordaland
16,Fusa,Hordaland
16,Samnanger,Hordaland
16,Austevoll,Hordaland
16,Vaksdal,Hordaland
16,Modalen,Hordaland
16,Osterøy,Hordaland
16,Meland,Hordaland
16,Øygarden,Hordaland
16,Radøy,Hordaland
16,Lindås,Hordaland
16,Austrheim,Hordaland
16,Fedje,Hordaland
16,Masfjorden,Hordaland
17,Bergen,Hordaland
17,Askøy,Hordaland
17,Fjell,Hordaland
17,Sund,Hordaland
17,Os,Hordaland
18,Stavanger,Rogaland
18,Haugesund,Rogaland
18,Sandnes,Rogaland
18,Sokndal,Rogaland
18,Lund,Rogaland
18,Bjerkreim,Rogaland
18,Hå,Rogaland
18,Klepp,Rogaland
18,Time,Rogaland
18,Gjesdal,Rogaland
18,Sola,Rogaland
18,Randaberg,Rogaland
18,Strand,Rogaland
18,Hjelmeland,Rogaland
18,Suldal,Rogaland
18,Sauda,Rogaland
18,Kvitsøy,Rogaland
18,Bokn,Rogaland
18,Tysvær,Rogaland
18,Karmøy,Rogaland
18,Utsira,Rogaland
18,Vindafjord,Rogaland
19,Mandal,Vest-Agder
19,Farsund,Vest-Agder
19,Flekkefjord,Vest-Agder
19,Vennesla,Vest-Agder
19,Songdalen,Vest-Agder
19,Søgne,Vest-Agder
19,Marnardal,Vest-Agder
19,Åseral,Vest-Agder
19,Audnedal,Vest-Agder
19,Lindesnes,Vest-Agder
19,Lyngdal,Vest-Agder
19,Hægebostad,Vest-Agder
19,Kvinesdal,Vest-Agder
