file,audio_filename,n_segments,mean_segment_duration_s,total_duration_s
aal_01um-02uk_sb_eo.trs,aal_01um-02uk,392,2.809,1101.120
aal_01um-02uk_sb_eo_sl.conc.ort.trs,aal_01um-02uk,392,2.809,1101.120
aal_01um-sl_mi_lh.trs,aal_01um-sl,101,5.465,552.000
aal_01um-sl_mi_lh_sl.conc.ort.trs,aal_01um-sl,101,5.465,552.000
aal_02uk-amg_sb_eo.trs,aal_02uk-amg,182,5.056,920.160
aal_02uk-amg_sb_eo_sl.conc.ort.trs,aal_02uk-amg,182,5.056,920.160
aal_03gm-04gk_ifg_eo.trs,aal_03gm-04gk,454,2.883,1308.960
aal_03gm-04gk_ifg_eo_sl.conc.ort.trs,aal_03gm-04gk,454,2.883,1308.960
aal_03gm-amg_ifg_lh.trs,aal_03gm-amg,182,4.460,811.680
aal_03gm-amg_ifg_lh_sl.conc.ort.trs,aal_03gm-amg,182,4.460,811.680
aal_04gk-sl_ifg_lh.trs,aal_04gk-sl,199,4.291,853.920
aal_04gk-sl_ifg_lh_sl.conc.ort.trs,aal_04gk-sl,199,4.291,853.920
aaseral_01um-02uk_hcfh_lh_eo.trs,aaseral_01um-02uk,316,3.477,1098.840
aaseral_01um-02uk_hcfh_lh_eo_sl_sr.conc.ort.trs,aaseral_01um-02uk,316,3.477,1098.840
aaseral_01um-sl_hcfh_eo_ifg_lh.trs,aaseral_01um-sl,138,5.871,810.200
aaseral_01um-sl_hcfh_eo_ifg_lh_sl_et_eo.conc.ort.trs,aaseral_01um-sl,138,5.871,810.200
aaseral_02uk-sl_hcfh_eo_lh.trs,aaseral_02uk-sl,170,4.392,746.680
aaseral_02uk-sl_hcfh_eo_lh_sl_sr.conc.ort.trs,aaseral_02uk-sl,170,4.392,746.680
aaseral_03gm-04gk_eo_lh.trs,aaseral_03gm-04gk,328,4.441,1456.560
aaseral_03gm-04gk_eo_lh_sl_et.conc.ort.trs,aaseral_03gm-04gk,328,4.441,1456.560
aaseral_03gm-eo_eo_lh.trs,aaseral_03gm-eo_800,116,7.060,818.920
aaseral_03gm-eo_eo_lh_sl_vb.conc.ort.trs,aaseral_03gm-eo,116,7.060,818.920
alvdal_01um-02uk_hcfh_sl_as.trs,alvdal_01um-02uk,338,3.093,1045.400
alvdal_01um-02uk_hcfh_sl_as_sl.conc.ort.trs,alvdal_01um-02uk,338,3.093,1045.400
alvdal_01um-jbj_hcfh_sl_as.trs,alvdal_01um-jbj,214,4.430,948.000
alvdal_01um-jbj_hcfh_sl_as_sl.conc.ort.trs,alvdal_01um-jbj,214,4.430,948.000
alvdal_02uk-jbj_hcfh_sl_as.trs,alvdal_02uk-jbj,311,5.372,1670.600
alvdal_02uk-jbj_hcfh_sl_as_sl.conc.ort.trs,alvdal_02uk-jbj,311,5.372,1670.600
alvdal_03gm-04gk_hcfh_as.trs,alvdal_03gm-04gk,402,3.582,1439.934
