topic_id,topic_desc,files_count,occurrences
to1,Intervju,338,338
to1,intervju,93,93
to1,Samtale - bekjente,79,79
to1,Samtale - venner,41,41
to1,Samtale - familie,25,25
to1,Samtale - ukjente,20,20
to1,samtale - bekjente,14,14
to1,"samtale, venner",7,7
to1,samtale - venner,5,5
to1,"samtale, bekjente",4,4
to1,Samtale- bekjente,3,3
to1,samtale - ukjente,2,2
to1,"samtale, familie",2,2
to1,samtale,1,1
to1,Samtale -  ukjente,1,1
to2,Samtale - bekjente,1,1
to1,samtale - familie,1,1
to2,Samtale - ukjente,1,1
to1,Samtale -venner,1,1
to1,"Samtale, bekjente",1,1
to1,"Samtale, venner",1,1
to1,Samtale- familie,1,1
to1,Samtale- venner,1,1
to1,Samtale-bekjente,1,1
to1,Samtale-familie,1,1
to1,Samtale-venner,1,1
