file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4
aal_01um-02uk_sb_eo.trs,2,258,1101.12,126,911.809,82.81,96,770.536,69.98,0,0.0,30,0,180.392,140.271,,
aal_01um-sl_mi_lh.trs,2,52,552.0,16,151.31,27.41,14,99.2,17.97,0,0.0,2,0,15.048,432.506,,
aal_02uk-amg_sb_eo.trs,2,148,920.16,30,186.983,20.32,27,151.546,16.47,0,0.0,3,0,559.941,154.336,,
aal_03gm-04gk_ifg_eo.trs,4,310,1308.96,218,1143.637,87.37,204,1109.567,84.77,0,0.0,14,0,80.027,107.536,5.629,
aal_03gm-amg_ifg_lh.trs,2,87,811.68,26,240.481,29.63,24,227.627,28.04,0,0.0,2,0,61.895,471.477,,
aal_04gk-sl_ifg_lh.trs,2,113,853.92,46,212.663,24.9,37,167.318,19.59,0,0.0,9,0,70.06,594.889,,
aaseral_01um-02uk_hcfh_lh_eo.trs,3,223,1098.84,147,911.691,82.97,128,779.562,70.94,0,0.0,19,0,150.408,142.281,,
aaseral_01um-sl_hcfh_eo_ifg_lh.trs,2,99,810.2,27,131.707,16.26,25,118.539,14.63,0,0.0,2,0,126.798,542.198,,
aaseral_02uk-sl_hcfh_eo_lh.trs,2,130,746.68,43,167.206,22.39,41,153.539,20.56,0,0.0,2,0,104.205,471.609,,
aaseral_03gm-04gk_eo_lh.trs,2,217,1456.56,169,1267.931,87.05,163,1243.001,85.34,0,0.0,6,0,94.453,103.586,,
aaseral_03gm-eo_eo_lh.trs,2,45,818.92,6,23.602,2.88,6,23.602,2.88,0,0.0,0,0,66.901,721.166,,
alvdal_01um-02uk_hcfh_sl_as.trs,3,227,1045.4,127,842.978,80.64,114,801.117,76.63,0,0.0,13,0,84.26,128.663,4.293,
alvdal_01um-jbj_hcfh_sl_as.trs,2,189,948.0,51,291.095,30.71,50,287.375,30.31,0,0.0,1,0,150.124,479.789,,
alvdal_02uk-jbj_hcfh_sl_as.trs,2,209,1670.6,85,646.616,38.71,81,620.174,37.12,0,0.0,4,0,133.246,716.394,,
alvdal_03gm-04gk_hcfh_as.trs,3,283,1439.934,163,1090.188,75.71,163,1090.188,75.71,0,0.0,0,0,173.348,86.282,4.474,
alvdal_03gm-jbj_hcfh_as.trs,2,114,990.28,36,263.102,26.57,36,263.102,26.57,0,0.0,0,0,68.333,568.257,,
alvdal_04gk-jbj_hcfh_amg_as.trs,2,177,961.96,32,144.992,15.07,29,131.134,13.63,0,0.0,3,0,217.763,612.133,,
aremark_01um-02uk_ahl_eo.trs,3,375,1222.08,157,812.063,66.45,123,688.209,56.31,0,0.0,34,0,266.431,256.995,,
aremark_01um-lh_ahl_eo.trs,2,145,732.48,40,172.755,23.58,38,168.152,22.96,0,0.0,2,0,160.74,390.114,,
aremark_02uk-lh_ahl_eo.trs,2,154,520.16,48,200.441,38.53,45,172.632,33.19,0,0.0,3,0,128.122,189.254,,
aremark_03gm-04gk_eo_sb.trs,2,265,1816.8,228,1700.552,93.6,223,1678.985,92.41,0,0.0,5,0,28.297,93.612,,
aremark_03gm-lh_eo_sb.trs,2,105,899.04,36,221.491,24.64,35,218.391,24.29,0,0.0,1,0,578.099,88.003,,
aremark_04gk-rvf_eo_sb.trs,2,209,915.36,110,354.233,38.7,109,351.133,38.36,0,0.0,1,0,40.979,481.929,,
aure_01um-02uk_sb_amg.trs,2,162,1252.4,97,1014.975,81.04,80,892.156,71.24,0,0.0,17,0,193.512,134.105,,
aure_01um-ta_sb_lh.trs,2,96,714.0,26,172.248,24.12,25,168.647,23.62,0,0.0,1,0,388.363,116.177,,
aure_02uk-ta_sb_lh.trs,2,113,792.76,36,395.98,49.95,28,348.126,43.91,0,0.0,8,0,262.014,151.952,,
aure_03gm-04gk_sb_lh.trs,2,185,1152.0,111,930.867,80.8,95,847.305,73.55,0,0.0,16,0,124.764,173.421,,
aure_03gm-ta_sb_lh.trs,2,75,639.8,17,173.88,27.18,16,167.537,26.19,0,0.0,1,0,355.049,112.278,,
aure_04gk-ta_sb_lh.trs,2,52,678.0,18,157.537,23.24,16,149.739,22.09,0,0.0,2,0,465.014,46.054,,
ballangen_01um-02uk_ifg_eo.trs,2,407,1661.12,132,807.48,48.61,95,593.484,35.73,0,0.0,37,0,707.237,325.724,,
ballangen_01um-kb_ifg_eo.trs,2,98,490.68,26,157.815,32.16,23,130.43,26.58,0,0.0,3,0,171.088,176.809,,
ballangen_02uk-kb_ifg_eo.trs,2,105,528.8,37,183.189,34.64,36,180.375,34.11,0,0.0,1,0,65.922,247.352,,
ballangen_03gm-04gk_kk_sb.trs,3,154,1802.76,127,1720.204,95.42,126,1716.797,95.23,0,0.0,1,0,30.971,35.615,3.047,
ballangen_03gm-kb_kk_sb.trs,2,82,703.68,39,364.212,51.76,38,362.594,51.53,0,0.0,1,0,290.928,36.606,,
ballangen_04gk-kb_kk_sb.trs,2,88,660.04,49,371.085,56.22,47,323.75,49.05,0,0.0,2,0,309.652,15.097,,
beiarn_01um-02uk_kk_sb.trs,2,417,2036.28,262,1662.781,81.66,183,1270.426,62.39,0,0.0,79,0,301.414,451.877,,
beiarn_01um-kb_kk_sb.trs,3,132,724.52,48,188.925,26.08,45,175.919,24.28,0,0.0,3,0,400.752,108.487,,
beiarn_02uk-kb_kk_sb.trs,2,101,663.8,41,226.417,34.11,39,222.732,33.55,0,0.0,2,0,323.524,99.062,,
beiarn_03gm-04gk_kk_sb.trs,2,273,1556.04,167,1194.021,76.73,150,1031.691,66.3,0,0.0,17,0,255.688,265.014,,
beiarn_03gm-kb_sb_kk.trs,2,190,790.0,77,377.91,47.84,77,377.91,47.84,0,0.0,0,0,318.893,79.26,,
