file,n_speakers_declared,total_turns,total_duration_sec,overlap_turns_original,overlap_sec_original,overlap_pct_original,overlap_turns_after_threshold,overlap_sec_after_threshold,overlap_pct_after_threshold,unresolved_multi_no_who_turns,unresolved_multi_no_who_sec,assigned_due_to_threshold_turns,words_threshold,sec_spk1,sec_spk2,sec_spk3,sec_spk4,sec_spk5
aal_01um-02uk_sb_eo.trs,2,258,1101.12,126,911.809,82.81,30,396.117,35.97,0,0.0,96,4,442.527,252.555,,,
aal_01um-sl_mi_lh.trs,2,52,552.0,16,151.31,27.41,0,0.0,0.0,0,0.0,16,4,82.387,464.367,,,
aal_02uk-amg_sb_eo.trs,2,148,920.16,30,186.983,20.32,3,19.84,2.16,0,0.0,27,4,602.777,243.206,,,
aal_03gm-04gk_ifg_eo.trs,4,310,1308.96,218,1143.637,87.37,75,660.782,50.48,0,0.0,143,4,299.093,335.371,5.629,1.884,
aal_03gm-amg_ifg_lh.trs,2,87,811.68,26,240.481,29.63,1,5.486,0.68,0,0.0,25,4,187.827,567.686,,,
aal_04gk-sl_ifg_lh.trs,2,113,853.92,46,212.663,24.9,4,17.594,2.06,0,0.0,42,4,150.568,664.105,,,
aaseral_01um-02uk_hcfh_lh_eo.trs,3,223,1098.84,147,911.691,82.97,32,277.056,25.21,0,0.0,115,4,442.184,353.011,,,
aaseral_01um-sl_hcfh_eo_ifg_lh.trs,2,99,810.2,27,131.707,16.26,2,14.167,1.75,0,0.0,25,4,202.493,570.875,,,
aaseral_02uk-sl_hcfh_eo_lh.trs,2,130,746.68,43,167.206,22.39,9,41.766,5.59,0,0.0,34,4,179.758,507.829,,,
aaseral_03gm-04gk_eo_lh.trs,2,217,1456.56,169,1267.931,87.05,58,717.502,49.26,0,0.0,111,4,300.613,422.925,,,
aaseral_03gm-eo_eo_lh.trs,2,45,818.92,6,23.602,2.88,0,0.0,0.0,0,0.0,6,4,90.503,721.166,,,
alvdal_01um-02uk_hcfh_sl_as.trs,3,227,1045.4,127,842.978,80.64,34,446.42,42.7,0,0.0,93,4,317.813,249.807,4.293,,
alvdal_01um-jbj_hcfh_sl_as.trs,2,189,948.0,51,291.095,30.71,7,52.088,5.49,0,0.0,44,4,258.621,606.579,,,
alvdal_02uk-jbj_hcfh_sl_as.trs,2,209,1670.6,85,646.616,38.71,14,131.776,7.89,0,0.0,71,4,351.684,986.354,,,
alvdal_03gm-04gk_hcfh_as.trs,3,283,1439.934,163,1090.188,75.71,62,662.72,46.02,0,0.0,101,4,394.139,292.959,4.474,,
alvdal_03gm-jbj_hcfh_as.trs,2,114,990.28,36,263.102,26.57,5,38.941,3.93,0,0.0,31,4,183.673,677.078,,,
alvdal_04gk-jbj_hcfh_amg_as.trs,2,177,961.96,32,144.992,15.07,2,5.628,0.59,0,0.0,30,4,317.282,638.12,,,
aremark_01um-02uk_ahl_eo.trs,3,375,1222.08,157,812.063,66.45,20,151.056,12.36,0,0.0,137,4,425.058,634.591,,0.93,
aremark_01um-lh_ahl_eo.trs,2,145,732.48,40,172.755,23.58,5,36.224,4.95,0,0.0,35,4,268.502,414.28,,,
aremark_02uk-lh_ahl_eo.trs,2,154,520.16,48,200.441,38.53,9,31.295,6.02,0,0.0,39,4,242.753,215.96,,,
aremark_03gm-04gk_eo_sb.trs,2,265,1816.8,228,1700.552,93.6,88,1049.919,57.79,0,0.0,140,4,274.161,476.814,,,
aremark_03gm-lh_eo_sb.trs,2,105,899.04,36,221.491,24.64,9,55.505,6.17,0,0.0,27,4,631.263,197.725,,,
aremark_04gk-rvf_eo_sb.trs,2,209,915.36,110,354.233,38.7,16,55.541,6.07,0,0.0,94,4,237.24,581.26,,,
aure_01um-02uk_sb_amg.trs,2,162,1252.4,97,1014.975,81.04,22,368.147,29.4,0,0.0,75,4,417.669,433.957,,,
aure_01um-ta_sb_lh.trs,2,96,714.0,26,172.248,24.12,5,42.185,5.91,0,0.0,21,4,418.712,212.29,,,
aure_02uk-ta_sb_lh.trs,2,113,792.76,36,395.98,49.95,5,55.779,7.04,0,0.0,31,4,432.723,273.59,,,
aure_03gm-04gk_sb_lh.trs,2,185,1152.0,111,930.867,80.8,36,459.664,39.9,0,0.0,75,4,275.905,409.921,,,
aure_03gm-ta_sb_lh.trs,2,75,639.8,17,173.88,27.18,3,58.642,9.17,0,0.0,14,4,426.178,150.044,,,
aure_04gk-ta_sb_lh.trs,2,52,678.0,18,157.537,23.24,1,1.312,0.19,0,0.0,17,4,558.066,101.429,,,
ballangen_01um-02uk_ifg_eo.trs,2,407,1661.12,132,807.48,48.61,9,45.553,2.74,0,0.0,123,4,970.934,609.958,,,
ballangen_01um-kb_ifg_eo.trs,2,98,490.68,26,157.815,32.16,2,18.63,3.8,0,0.0,24,4,282.216,177.481,,,
ballangen_02uk-kb_ifg_eo.trs,2,105,528.8,37,183.189,34.64,2,2.131,0.4,0,0.0,35,4,195.173,296.345,,,
ballangen_03gm-04gk_kk_sb.trs,3,154,1802.76,127,1720.204,95.42,82,1407.904,78.1,0,0.0,45,4,147.33,224.362,6.834,,
ballangen_03gm-kb_kk_sb.trs,2,82,703.68,39,364.212,51.76,12,67.015,9.52,0,0.0,27,4,529.208,93.905,,,
ballangen_04gk-kb_kk_sb.trs,2,88,660.04,49,371.085,56.22,10,78.726,11.93,0,0.0,39,4,462.631,107.142,,,
beiarn_01um-02uk_kk_sb.trs,2,417,2036.28,262,1662.781,81.66,40,349.974,17.19,0,0.0,222,4,673.93,999.813,,,
beiarn_01um-kb_kk_sb.trs,3,132,724.52,48,188.925,26.08,4,7.017,0.97,0,0.0,44,4,431.296,245.376,1.469,,
beiarn_02uk-kb_kk_sb.trs,2,101,663.8,41,226.417,34.11,6,50.136,7.55,0,0.0,35,4,387.737,207.445,,,
beiarn_03gm-04gk_kk_sb.trs,2,273,1556.04,167,1194.021,76.73,35,370.498,23.81,0,0.0,132,4,634.502,547.393,,,
beiarn_03gm-kb_sb_kk.trs,2,190,790.0,77,377.91,47.84,13,87.909,11.13,0,0.0,64,4,509.151,179.003,,,
beiarn_04gk-kb_sb_kk.trs,2,174,677.68,58,201.039,29.67,10,46.56,6.87,0,0.0,48,4,368.632,224.284,,,
beiarn_05um-kb_kk_eo.trs,2,74,620.2,19,154.71,24.95,1,1.505,0.24,0,0.0,18,4,443.263,172.776,,,
bergen_01um-02uk_amg_sb_eo.trs,2,225,1060.8,100,624.629,58.88,10,87.922,8.29,0,0.0,90,4,464.536,366.205,,,
bergen_01um-mi_amg_sb_lh.trs,2,87,729.095,18,96.911,13.29,3,18.795,2.58,0,0.0,15,4,174.575,519.059,,,
bergen_02uk-sl_amg_sb_lh.trs,2,127,499.2,29,135.683,27.18,3,9.824,1.97,0,0.0,26,4,165.253,304.687,,,
bergen_03gm-04gk_sb_lh.trs,3,144,1278.24,114,1189.726,93.08,48,777.808,60.85,0,0.0,66,4,268.997,216.506,0.954,,
